,HW2885GK,,,V-Minion - Electronics Case Bundle
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2877PC,,,vminion_electronics_panel_bottom
1,HW2878PC,,,vminion_electronics_panel_left_boards
1,HW2879PC,,,vminion_electronics_panel_right_psu
1,HW2880PC,,,vminion_electronics_panel_top
1,HW2888EC,250,,Wire - DC Power - 15AWG BLACK - 1000mm
1,HW2889EC,250,,Wire - DC Power - 15AWG RED - 1000mm
1,HW2890EC,200,,Wire - GROUND - 18AWG GREEN+YELLOW - 1000mm
1,HW2891EC,100,,Wire - LIVE - 18AWG BROWN - 1000mm
1,HW2891EC,200,,Wire - LIVE - 18AWG BROWN - 1000mm
1,HW2892EC,200,,Wire - NEUTRAL - 18AWG BLUE - 1000mm
1,HW2898EC,,,Cable 22AWG - Dupont Female Connectors - BLACK - 200mm
1,HW2899EC,,,Cable 22AWG - Dupont Female Connectors - RED - 200mm
1,HW2088EC,900,,"Cable Sleeve - Flexo F6 3/8"" (9.5mm) Black (meter)"
1,HW2044EC,,,Fan - 40mm Axial Brushless 24V DC
1,HW2873EC,,,IEC Socket - Switchable & Fused (5A fuse)
1,HW2881EC,,,USB Cable - Angled Connector - 20cm
5,HW2894EC,,,Spade connector - Insulation Cover
5,HW2893EC,,,Spade connector for IEC
4,HW1696SC,,,Button Head Screw M3 (Single) (Length: 20mm)
4,HW2871SC,,,Cap Head Screw M2.5 (Single) (Length: 16mm)
21,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
4,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
8,HW1507SC,,,Cap Head Screw M3 (Single) (Length: 16mm)
4,HW1289SC,,,Cap Head Screw M4 (Single) (Length: 6mm)
25,HW1251NC,,,Hex Locking Nut - M3
4,HW2872NC,,,Hex Nut - M2.5
4,HW1508NC,,,Hex Nut - M3
4,HW2876NC,,,Hex Standoff - Brass - M3 x 70mm
4,HW2874NC,,,Hex Standoff - Nylon - M2.5 x 5mm
4,HW2882NC,,,Hex Standoff - Nylon - M3 x 12mm
4,HW2875NC,,,Hex Standoff - Nylon - M3 x 6mm
8,HW1563GC,,,Wire Tie - Small - Black - 2.5mm x 120mm
,,,,
,,,,
,SKU,,,Product Name
,HW2886GK,,,V-Minion - Electronics Bundle
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2769EC,,,Keenovo 160x160mm 24V 180W Silicone Heater Bed Pad w/ NTC 100K Thermistor and Thermal Fuse (157C)
1,HW2770GC,,,FlexPlate Set - Powder coated PEI 184 x 184 mm
1,HW2801EC,,,BTT SKR V2 - Without drivers
4,HW2052EC,,,BigTreeTech TMC2209 Driver SPI
1,HW2804EC,,,"RASPBERRY PI 3 A+ (1.4Ghz, 512MB RAM, USB 2.0)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
3,HW2059EC,,,"Nema 17 Stepper Motor - 40mm - 1.8degree/step, 61oz-in"
1,HW2821EC,,,Heater Cartridge - 6mm * 20mm - 60W
1,HW2822EC,,,Thermistor NTC 100K ohm B3950 Cartridge Sensor 1000mm Cable XH2.54 (High Temperature 280C)
1,HW2843EC,,,Dragonfly BMO Hotend - Black (Hotend only)
1,HW2840EC,,,LGX Lite Extruder by Bondtech
1,HW2817EC,,,Fan - 50mm Blower Type 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW1353EC,,,Power Supply Weho - 350Watt 24V
3,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
1,HW2819EC,,,Inductive Probe 5V
,,,,
,,,,
,SKU,,,Product Name
,HW2857GK,,,V-Minion - Essentials Kit
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2856GK,,,V-Minion - Mechanical Kit
1,HW2886GK,,,V-Minion - Electronics Bundle
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2858GK,,,V-Minion - Full Kit
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2856GK,,,V-Minion - Mechanical Kit
1,HW2886GK,,,V-Minion - Electronics Bundle
1,HW2885GK,,,V-Minion - Electronics Case Bundle
1,HW2883GC,,,V-Minion - Printed Parts Bundle - Machine
1,HW2884GC,,,V-Minion - Printed Parts Bundle - Electronics Case
